	title	etime	content	vote	comment
437	법학개론 ㅇㅇㅅ교수님	42분 전	내일 대면이야...?	0	1
438	마케팅관리 ㄱㅎㅈ 교수님	42분 전	필기 구해봅니다..ㅠㅠ	0	2
439	너네 시험 전날에 교양	45분 전	대충 몇시간 보고 가냐??	0	3
440	전역하면 이성한테 플러스점수있음?	방금	못생기면 있어봤자겠지만	0	0
441	내가 이제 26살인데	2분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	2
442	치킨빼고 치즈볼만 먹고싶다	3분 전	ㅠㅅㅠ	0	0
443	지금 학교 다니는 남자 21학번은	3분 전	군대 안간거누	0	2
444	약대	4분 전	학부몇학번부터 생겼어?	0	1
445	낼 경영과 사회 ㄹㅅㅇ	4분 전	대면 맞지??	0	0
446	원가회계 공부하신분.,	5분 전	전 5장이 너무 어렵습니다..	0	0
447	공.부.시.러.	5분 전	하.기.시.러	0	1
448	사회적가치와개인의자유	7분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
449	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	8분 전	나는 포기한 사람 ㅎㅎ	0	0
450	공2 쪽문에서 지갑잃어리신분	8분 전	02년생 김다혜씨 쪽지주세요~	0	0
451	잘 하는 게 없으면	9분 전	일단 돈이라도 버는 게 맞지?	0	0
452	근데왜	9분 전	올해는 월드컵을 겨울에해 춥게	0	2
453	쪽문에 붕어빵	9분 전	오늘도 있나요?	0	2
454	그 핫게 교수님 냥이	11분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
455	나같은 스타일있나?	11분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
456	행정학개론	12분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
457	디자인과 생활	13분 전	디자인과 생활 중간고사 보나요 ??????	0	0
458	나랑 랜소 예행연습할사람?	14분 전	쪽지줘~	0	1
459	24년 전역	15분 전	오긴 오냐	1	11
460	여친 ㅈㄴ질리는데 헤어질 구실좀..	17분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
461	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
462	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	27
463	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
464	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
465	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
